558,False,1000,50,3,1,500,0,0.0001,2,441,529.8519545455538,6.04,1.5333747518516645,3.949634269889989,1.8639106549069953,550.02,22.58,29.36,6.04
570,False,1000,50,3,1,500,0,0.0001,1.1,609,485.76989306438,6.06,1.5565217797346333,3.876371701658505,1.6654481426130374,561.86,24.76,9.68,6.06
726,False,1000,50,3,1,500,0,0.001,2,366,515.5462191799897,6.0,1.6830237677141855,3.6003275690217436,1.948166352576994,718.36,24.68,62.3,6.0
973,False,1000,50,3,1,500,0,0.01,1.1,408,425.6691386967618,6.0,1.9587441540363841,3.092359760854709,1.5021850355372184,965.7,18.08,16.68,6.0
1092,False,1000,50,3,1,500,0,0.001,1.1,738,424.6527358692094,6.02,2.0752921699397877,2.9258625037525037,1.5452620164942434,1084.2,39.5,18.06,6.02
1380,False,1000,50,3,1,500,0,0.0001,3,806,457.8799872422907,6.0,2.220762731489169,2.6831469374132038,2.572992822346551,1372.04,41.0,235.48,6.0
1755,False,1000,50,3,1,500,0,0.01,2,435,448.08020256733266,6.0,2.641717386531373,2.28798943828156,1.9514880821010305,1747.46,20.66,183.14,6.0
4274,False,1000,50,3,1,500,0,1,2,0,325.53637909666793,6.0,4.928205656703509,1.228777171723808,2.009967227262146,4267.0,0.0,590.86,6.0
4480,False,1000,50,3,1,500,0,1,3,0,590.67898181967,6.0,4.382799306606881,1.3753146824683555,2.997224110008582,4473.0,0.0,1695.38,6.0
4847,False,1000,50,3,1,500,0,0.1,2,10,237.48258188493207,6.0,5.464033548178993,1.095171511013124,2.0169765444857277,4839.96,0.24,653.76,6.0
5964,False,1000,50,3,1,500,0,0.1,1.1,6,-798.4186429858103,5.98,6.9282760691332115,0.8635090114222111,1.3385690544507032,5957.02,0.22,59.78,5.98
8451,False,1000,50,3,1,500,0,1,1.1,0,-1388.0968518385039,6.0,9.404030277084361,0.6366577827572424,1.3357941001200717,8444.0,0.0,82.5,6.0
10279,False,1000,50,3,1,500,0,0.001,3,886,352.3398376948867,6.02,9.027498262188107,0.6651770543628911,2.9584033068552684,10270.88,35.42,3474.92,6.02
13108,False,1000,50,3,1,500,0,0.1,3,15,566.2240226157625,5.98,10.909508245623709,0.5467040997518909,3.0043705963078473,13100.96,0.54,4952.02,5.98
13034,False,1000,50,3,1,500,0,0.01,3,708,445.57976398422727,6.0,11.053035055959787,0.5434755519505707,2.968304731692588,13026.46,33.8,4613.26,6.0
