23968,False,10000,10,uniform,1,500,0,0.01,straight,2079,-15049699970027.85,300.0,24.611208957857293,12.18660389101602
28706,False,10000,10,uniform,1,500,0,0.01,1.1,3943,26498.813331929035,299.9,29.008100319145473,10.335852874904898
40552,False,10000,10,uniform,1,500,0,0.005,straight,9075,-17118499970405.512,300.0,40.871620267135825,7.337868780937103
42608,False,10000,10,uniform,1,500,0,0.005,1.1,9133,26099.442786624433,299.9,42.5496506779517,7.046190792288721
43578,False,10000,10,uniform,1,500,0,0,straight,11875,-17989599970323.145,300.0,43.757669420451194,6.853875167266774
44293,False,10000,10,uniform,1,500,0,0.001,straight,10738,-18352699970481.445,299.9,44.53634699497009,6.731940146830778
45621,False,10000,10,uniform,1,500,0,0.0001,straight,11439,-19088299970389.72,300.0,45.82726549528549,6.544329239797021
45999,False,10000,10,uniform,1,500,0,0.001,1.1,11800,26178.944121123215,300.0,45.745021013545795,6.556105853049544
48306,False,10000,10,uniform,1,500,0,0.0001,1.1,12289,25907.084132467768,300.0,47.985528567684675,6.250215913908297
19761,False,10000,10,uniform,1,500,0,0.05,straight,52,-19312999968794.375,300.0,20.458422137608856,14.660497754614308
49957,False,10000,10,uniform,1,500,0,0.01,2,8862,28833.820196749853,300.0,46.62300178107021,6.433264746383221
51026,False,10000,10,uniform,1,500,0,0,1.1,11892,25339.343827781846,300.0,50.73489720927103,5.911380381462264
58382,False,10000,10,uniform,1,500,0,0.005,2,13002,28823.772823442287,300.0,54.42282688886159,5.511090272288611
20718,False,10000,10,uniform,1,500,0,0.05,1.1,60,25819.484264256083,300.0,21.166964093678946,14.16956519319206
62557,False,10000,10,uniform,1,500,0,0.0001,2,15039,28887.393332587082,300.0,58.11594930783681,5.160408275628917
63172,False,10000,10,uniform,1,500,0,0.001,2,14801,28805.843608982803,300.0,58.755463176347874,5.104519936975235
19605,False,10000,10,uniform,1,500,0,0.1,straight,13,-19279999968772.777,300.0,20.303201605740504,14.767316293917933
20254,False,10000,10,uniform,1,500,0,0.1,1.1,20,25771.87805688237,300.0,20.71467343422399,14.478925785708679
